system,numa,vCPU,bs,dt,in_size,out_size,model,index,time
baseline,1s,16,64bs,bf16,128,128,7B,0,498.843848
baseline,1s,16,64bs,bf16,128,128,7B,1,504.207261
baseline,1s,16,64bs,bf16,128,128,7B,2,501.748785
baseline,1s,16,64bs,bf16,128,128,7B,3,503.2861
baseline,1s,16,64bs,bf16,128,128,7B,4,501.93491
baseline,1s,16,64bs,bf16,128,128,7B,5,510.549238
baseline,1s,16,64bs,bf16,128,128,7B,6,511.751138
baseline,1s,16,64bs,bf16,128,128,7B,7,507.357492
baseline,1s,16,64bs,bf16,128,128,7B,8,503.614142
baseline,1s,16,64bs,bf16,128,128,7B,9,512.253362
baseline,1s,16,64bs,bf16,128,128,7B,10,505.913487
baseline,1s,16,64bs,bf16,128,128,7B,11,501.911398
baseline,1s,16,64bs,bf16,128,128,7B,12,502.609691
baseline,1s,16,64bs,bf16,128,128,7B,13,502.525995
baseline,1s,16,64bs,bf16,128,128,7B,14,513.036868
baseline,1s,16,64bs,bf16,128,128,7B,15,511.527488
baseline,1s,16,64bs,bf16,128,128,7B,16,514.123789
baseline,1s,16,64bs,bf16,128,128,7B,17,514.335598
baseline,1s,16,64bs,bf16,128,128,7B,18,515.315413
baseline,1s,16,64bs,bf16,128,128,7B,19,507.738753
baseline,1s,16,64bs,bf16,128,128,7B,20,502.78758
baseline,1s,16,64bs,bf16,128,128,7B,21,512.156843
baseline,1s,16,64bs,bf16,128,128,7B,22,506.70589
baseline,1s,16,64bs,bf16,128,128,7B,23,502.481713
baseline,1s,16,64bs,bf16,128,128,7B,24,508.027603
baseline,1s,16,64bs,bf16,128,128,7B,25,507.349789
baseline,1s,16,64bs,bf16,128,128,7B,26,506.090621
baseline,1s,16,64bs,bf16,128,128,7B,27,511.136425
baseline,1s,16,64bs,bf16,128,128,7B,28,514.493947
baseline,1s,16,64bs,bf16,128,128,7B,29,511.801632
baseline,1s,16,1bs,bf16,128,128,7B,0,16.040077
baseline,1s,16,1bs,bf16,128,128,7B,1,16.084635
baseline,1s,16,1bs,bf16,128,128,7B,2,16.165558
baseline,1s,16,1bs,bf16,128,128,7B,3,16.052825
baseline,1s,16,1bs,bf16,128,128,7B,4,16.031477
baseline,1s,16,1bs,bf16,128,128,7B,5,16.01454
baseline,1s,16,1bs,bf16,128,128,7B,6,16.046469
baseline,1s,16,1bs,bf16,128,128,7B,7,16.078536
baseline,1s,16,1bs,bf16,128,128,7B,8,16.109716
